"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","613","DEMO_TC002 : As a user, I can log into the secure area","","Tue Sep 03 19:24:04 ART 2024","passed","Tue Sep 03 19:24:05 ART 2024","","The Internet Guinea Pig Website","",""
"","2635","DEMO_TC001 : As a user, I can log into the secure area","","Tue Sep 03 19:24:02 ART 2024","passed","Tue Sep 03 19:24:04 ART 2024","","The Internet Guinea Pig Website","",""
